,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital_instability_1983_(1983),marital_instability_in_1988_(1988),marital_stability_1992_(1992),marital_instability_2000_(2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
31,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
33,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.4799999892711639,0.4799999892711639,0.3000000119209289,"\$40,000 - \$49,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
35,NO,NO,NO,NO,BOTH,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",BOTH,NO,YES SELF,"YES,SELF",NO,"YES, SELF",0.8500000238418579,1.1100000143051147,0.7799999713897705,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
47,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,"YES,SELF","YES, SELF",NO,NO,NO,NO,0.3000000119209289,0.0,0.4799999892711639,0.0,"\$25,000 - \$29,999","Under \$20,000","Under \$20,000","Under \$20,000"
49,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$40,000 - \$49,999","\$50,000 - \$59,999"
50,YES SELF,"YES,SELF","YES,SELF",,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
56,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SELF","YES,SPOUSE",NO,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,"YES,SELF",NO,1.0,1.2000000476837158,1.2000000476837158,0.4799999892711639,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999","Under \$20,000"
57,YES SPOUSE,NO,"YES,SPOUSE","YES, SPOUSE",BOTH,NO,BOTH,NO,YES SPOUSE,NO,NO,NO,NO,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
60,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$40,000 - \$49,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
61,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.3000000119209289,0.0,"\$80,000 - \$89,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
62,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,0.699999988079071,0.0,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$40,000 - \$49,999","Under \$20,000","Under \$20,000"
63,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.699999988079071,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
64,YES SELF,"YES,SPOUSE",NO,NO,YES SELF,NO,NO,NO,,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,0.949999988079071,0.6000000238418579,0.0,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
68,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
71,YES SPOUSE,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.3000000119209289,0.0,0.0,"Under \$20,000","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
76,BOTH,NO,"YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SELF,NO,NO,BOTH,NO,NO,NO,NO,0.949999988079071,0.0,0.3000000119209289,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","Under \$20,000"
80,NO,"YES,SPOUSE",NO,NO,NO,NO,BOTH,BOTH,YES SPOUSE,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.699999988079071,0.0,0.0,0.0,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
83,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.4799999892711639,0.0,0.3000000119209289,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
88,YES SELF,"YES,SELF","YES,SELF",NO,YES SELF,NO,"YES,SELF","YES, SELF",NO,NO,BOTH,NO,NO,BOTH,"YES,SELF",BOTH,NO,NO,NO,NO,0.8999999761581421,0.3000000119209289,0.4799999892711639,1.1799999475479126,"\$25,000 - \$29,999","\$30,000 - \$39,999","Under \$20,000","Under \$20,000"
91,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.4799999892711639,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
92,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1.0800000429153442,1.0,0.8500000238418579,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
93,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
96,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
101,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.0,0.0,"\$25,000 - \$29,999","\$40,000 - \$49,999","Under \$20,000","\$25,000 - \$29,999"
105,BOTH,BOTH,BOTH,"YES, SPOUSE",NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,"YES, SPOUSE",YES SPOUSE,BOTH,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.699999988079071,0.3000000119209289,0.6000000238418579,1.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
106,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
110,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$20,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000"
111,YES SPOUSE,"YES,SELF",NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.3000000119209289,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
113,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,BOTH,BOTH,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
114,YES SELF,BOTH,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.949999988079071,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","Under \$20,000"
117,NO,NO,NO,NO,NO,NO,BOTH,"YES, SPOUSE",NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.4799999892711639,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
119,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","Under \$20,000"
121,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.6000000238418579,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
125,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,"YES, SELF",NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.4799999892711639,0.4799999892711639,0.8500000238418579,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
128,YES SPOUSE,NO,NO,BOTH,NO,NO,NO,BOTH,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.4799999892711639,0.4799999892711639,0.0,"\$40,000 - \$49,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
132,NO,NO,BOTH,NO,YES SPOUSE,NO,BOTH,NO,NO,NO,BOTH,NO,NO,NO,BOTH,NO,NO,NO,BOTH,NO,0.699999988079071,0.0,0.0,0.0,"\$100,000 or More","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
133,YES SELF,"YES,SELF",NO,"YES, SELF",YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,YES SELF,BOTH,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,1.0399999618530271,1.2799999713897705,0.3000000119209289,0.8999999761581421,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$60,000 - \$69,999","Under \$20,000"
135,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,0.0,0.6000000238418579,0.7799999713897705,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","Under \$20,000","\$60,000 - \$69,999"
140,BOTH,"YES,SELF",BOTH,NO,NO,NO,NO,NO,YES SELF,NO,"YES,SELF","YES, SELF",BOTH,"YES,SELF",BOTH,NO,NO,NO,NO,NO,1.149999976158142,0.0,0.6000000238418579,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
141,NO,NO,NO,BOTH,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,"YES, SPOUSE",0.4799999892711639,0.0,0.0,1.1100000143051147,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","Under \$20,000"
143,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,0.7799999713897705,0.4799999892711639,"\$100,000 or More","\$50,000 - \$59,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
144,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,0.8999999761581421,1.1100000143051147,0.0,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
147,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
149,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,"YES,SELF","YES, SELF",NO,NO,NO,NO,0.8500000238418579,0.0,0.4799999892711639,0.0,"\$60,000 - \$69,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.8500000238418579,0.3000000119209289,"Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
151,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
156,NO,NO,NO,NO,NO,NO,NO,"YES, SELF",NO,NO,NO,"YES, SPOUSE",YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
157,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
158,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,BOTH,NO,"YES,SPOUSE",NO,NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",0.0,0.8999999761581421,0.4799999892711639,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$40,000 - \$49,999"
159,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
164,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$20,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
166,BOTH,NO,NO,"YES, SPOUSE",NO,NO,"YES,SPOUSE",NO,YES SELF,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.949999988079071,0.4799999892711639,0.8500000238418579,0.699999988079071,"Under \$20,000","\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
169,YES SELF,"YES,SELF","YES,SELF",NO,YES SPOUSE,NO,NO,NO,YES SPOUSE,"YES,SELF",BOTH,NO,YES SELF,NO,"YES,SELF",NO,YES SELF,NO,NO,NO,0.6000000238418579,0.0,0.6000000238418579,0.4799999892711639,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
170,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,"YES, SPOUSE",0.4799999892711639,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$60,000 - \$69,999"
177,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
179,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
180,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
181,YES SELF,"YES,SELF",BOTH,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SPOUSE","YES, SPOUSE",YES SELF,BOTH,"YES,SELF","YES, SELF",NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,0.6000000238418579,0.699999988079071,"\$25,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
183,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.3000000119209289,0.6000000238418579,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$50,000 - \$59,999","\$25,000 - \$29,999"
186,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$90,000 - \$99,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
190,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.699999988079071,0.0,0.3000000119209289,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
193,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
194,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
196,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
197,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,"YES, SPOUSE",NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
199,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
201,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","Under \$20,000","\$60,000 - \$69,999","\$60,000 - \$69,999"
203,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","Under \$20,000","\$60,000 - \$69,999","\$60,000 - \$69,999"
208,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,"YES,SPOUSE",NO,NO,"YES,SELF","YES,SELF",NO,YES SPOUSE,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,"YES,SELF",NO,0.0,0.3000000119209289,1.1799999475479126,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
209,YES SPOUSE,BOTH,BOTH,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,1.1799999475479126,1.1799999475479126,1.149999976158142,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
212,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
216,YES SELF,BOTH,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,"YES, SELF",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$30,000 - \$39,999","\$25,000 - \$29,999","Under \$20,000"
219,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,YES SELF,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,1.1799999475479126,0.0,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
220,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",BOTH,NO,NO,NO,NO,0.3000000119209289,0.8500000238418579,0.0,0.8500000238418579,"\$70,000 - \$79,999","\$40,000 - \$49,999","Under \$20,000","\$30,000 - \$39,999"
221,YES SELF,BOTH,BOTH,BOTH,NO,BOTH,NO,"YES, SPOUSE",NO,NO,NO,"YES, SELF",NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",0.6000000238418579,1.0800000429153442,0.6000000238418579,0.4799999892711639,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
223,YES SELF,"YES,SELF","YES,SELF",BOTH,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.6000000238418579,0.4799999892711639,0.3000000119209289,0.3000000119209289,"\$25,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000"
